Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Bard,Support,SUPPORT,B,47.08,-2.95,49.51%,96.20%,3.47%,0.61%,2.89
Bel'Veth,Fighter,JUNGLE,God,69.66,-3.13,52.28%,95.80%,6.33%,27.27%,2.42
Blitzcrank,Tank,SUPPORT,S,56.29,-1.59,49.80%,98.25%,6.31%,12.18%,2.43
Brand,Mage,SUPPORT,B,46.96,4.38,51.19%,73.23%,3.52%,4.70%,1.89
Brand,Mage,MID,B,42.39,0.46,51.52%,17.71%,0.88%,5.15%,2.1
Braum,Support,SUPPORT,C,40.67,-1.05,48.46%,97.56%,2.21%,0.35%,2.68
Caitlyn,Marksman,ADC,S,55.82,1.33,49.53%,96.51%,10.43%,5.15%,2.25
Camille,Fighter,TOP,A,53.04,-0.55,49.24%,94.39%,4.50%,2.45%,1.95
Cassiopeia,Mage,MID,B,45.3,-2.94,50.72%,76.89%,2.16%,1.88%,2.12
Cassiopeia,Mage,TOP,C,36.93,2.58,50.31%,13.99%,0.39%,1.87%,1.82
Cho'Gath,Tank,TOP,B,43,-0.88,49.30%,65.14%,1.91%,0.71%,2.11
Cho'Gath,Tank,MID,D,34.3,-6.42,47.86%,21.04%,0.48%,0.71%,2.28
Corki,Marksman,MID,C,41.36,2.93,49.88%,91.49%,1.37%,0.25%,2.24
Darius,Fighter,TOP,God,92.91,-0.24,50.95%,92.95%,9.81%,27.33%,1.85
Diana,Fighter,JUNGLE,God,91.02,-3.11,52.12%,87.41%,10.76%,22.32%,2.57
Diana,Fighter,MID,B,45.13,-4.44,51.29%,11.77%,1.44%,22.37%,2.11
Dr. Mundo,Marksman,TOP,A,50.74,1.38,51.26%,84.16%,2.67%,1.57%,2.17
Draven,Fighter,ADC,God,72.08,5.19,51.75%,95.52%,9.72%,32.32%,2.19
Ekko,Assassin,JUNGLE,A,51.66,-4.57,49.31%,64.41%,5.23%,2.68%,2.74
Ekko,Assassin,MID,B,46.62,-2.72,50.19%,32.94%,2.57%,2.68%,2.28
Elise,Mage,JUNGLE,B,44.8,2.18,50.62%,92.05%,2.82%,1.79%,2.77
Evelynn,Assassin,JUNGLE,B,43.94,1.62,48.93%,98.03%,3.17%,4.40%,2.97
Ezreal,Marksman,ADC,God,67.81,-5.43,49.00%,95.31%,15.04%,3.06%,2.44
Fiddlesticks,Mage,JUNGLE,S,57.56,-3.93,51.20%,88.73%,5.30%,7.02%,2.82
Fiora,Fighter,TOP,S,65.49,-4.13,49.85%,97.27%,6.18%,17.18%,1.75
Fizz,Assassin,MID,B,45.96,0.11,48.79%,93.72%,2.95%,3.82%,2.4
